INFO  - 2016-08-04 16:20:26.282; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(django_id:(56)+OR+django_id:(51))&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2016-08-04 16:20:26.289; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=((django_id:(56)+OR+django_id:(51))+AND+subjecttype:(1))&facet.field=discipline&facet.field=fileType&facet.field=fileFormat&facet.field=language&facet.field=spatial&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json&facet=on} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:20:26.295; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=((django_id:(56)+OR+django_id:(51))+AND+subjecttype:(1))&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2016-08-04 16:20:26.299; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=((django_id:(56)+OR+django_id:(51))+AND+subjecttype:(1))&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=10&wt=json} hits=1 status=0 QTime=0 
INFO  - 2016-08-04 16:20:28.584; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&facet.field=discipline&facet.field=fileType&facet.field=fileFormat&facet.field=language&facet.field=spatial&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&facet=on&wt=json} hits=10 status=0 QTime=1 
INFO  - 2016-08-04 16:20:28.593; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=10 status=0 QTime=0 
INFO  - 2016-08-04 16:20:28.598; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=10&wt=json} hits=10 status=0 QTime=1 
INFO  - 2016-08-04 16:20:41.414; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&fq=曲麻&rows=1&wt=json} hits=5 status=0 QTime=1 
INFO  - 2016-08-04 16:20:41.420; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&facet.field=discipline&facet.field=attrName_exact&facet.field=language&facet.field=spatial&facet.field=fileType&facet.field=fileFormat&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&fq=曲麻&rows=1&wt=json&facet=on} hits=5 status=0 QTime=1 
INFO  - 2016-08-04 16:20:41.427; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&fq=曲麻&rows=10&wt=json} hits=5 status=0 QTime=1 
